[36m2025-12-26 01:19:43,623[0m - [32m__main__[0m - ERROR - Failed to register with STUN server. Exiting.
2026-01-01 16:00:53,605 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:00:55,668 - client.network - INFO - Registered as 'user01' with STUN server
2026-01-01 16:00:55,671 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5000
2026-01-01 16:01:31,491 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:01:33,554 - client.network - INFO - Registered as 'user02' with STUN server
2026-01-01 16:01:33,556 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5000
2026-01-01 16:02:52,570 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 58543)
2026-01-01 16:11:47,386 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:11:49,419 - client.network - ERROR - Registration failed (Status 409): {"detail":"Peer 'user01' already registered"}
2026-01-01 16:11:49,420 - __main__ - ERROR - Failed to register with STUN server. Exiting.
2026-01-01 16:11:50,765 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:11:52,809 - client.network - ERROR - Registration failed (Status 409): {"detail":"Peer 'user02' already registered"}
2026-01-01 16:11:52,810 - __main__ - ERROR - Failed to register with STUN server. Exiting.
2026-01-01 16:12:01,404 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:12:03,469 - client.network - INFO - Registered as 'user03' with STUN server
2026-01-01 16:12:03,471 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5000
2026-01-01 16:12:08,350 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:12:10,411 - client.network - INFO - Registered as 'user04' with STUN server
2026-01-01 16:12:10,413 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5000
2026-01-01 16:12:36,165 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:12:38,201 - client.network - INFO - Registered as 'sender' with STUN server
2026-01-01 16:12:38,203 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5000
2026-01-01 16:12:44,936 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:12:46,970 - client.network - INFO - Registered as 'receiver' with STUN server
2026-01-01 16:12:46,972 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5001
2026-01-01 16:13:03,830 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 59723)
2026-01-01 16:14:38,192 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:14:40,266 - client.network - INFO - Registered as 'third' with STUN server
2026-01-01 16:14:40,268 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5002
2026-01-01 16:15:55,503 - client.tcp_handler - INFO - New connection from ('127.0.0.1', 51072)
2026-01-01 16:16:35,577 - client.network - INFO - STUN client initialized with URL: http://localhost:8000
2026-01-01 16:16:37,664 - client.network - INFO - Registered as 'receive' with STUN server
2026-01-01 16:16:37,666 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5001
